idFilme,titulo,generos,media_notas,nro_avaliacoes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397,215.0
2,Jumanji (1995),Adventure|Children|Fantasy,3.4318181818181817,110.0
3,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846,52.0
5,Father of the Bride Part II (1995),Comedy,3.0714285714285716,49.0
6,Heat (1995),Action|Crime|Thriller,3.946078431372549,102.0
7,Sabrina (1995),Comedy|Romance,3.185185185185185,54.0
10,GoldenEye (1995),Action|Adventure|Thriller,3.496212121212121,132.0
11,"American President, The (1995)",Comedy|Drama|Romance,3.6714285714285713,70.0
16,Casino (1995),Crime|Drama,3.926829268292683,82.0
17,Sense and Sensibility (1995),Drama|Romance,3.7761194029850746,67.0
19,Ace Ventura: When Nature Calls (1995),Comedy,2.727272727272727,88.0
21,Get Shorty (1995),Comedy|Crime|Thriller,3.49438202247191,89.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222222222222223,36.0
25,Leaving Las Vegas (1995),Drama|Romance,3.625,76.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0131578947368425,38.0
31,Dangerous Minds (1995),Drama,3.1842105263157894,38.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.983050847457627,177.0
34,Babe (1995),Children|Drama,3.65234375,128.0
36,Dead Man Walking (1995),Crime|Drama,3.8358208955223883,67.0
39,Clueless (1995),Comedy|Romance,3.293269230769231,104.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.5434782608695654,46.0
45,To Die For (1995),Comedy|Drama|Thriller,3.3125,32.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.9753694581280787,203.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.1470588235294117,68.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.237745098039215,204.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.027027027027027,37.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.235294117647059,34.0
62,Mr. Holland's Opus (1995),Drama,3.70625,80.0
65,Bio-Dome (1996),Comedy,2.532258064516129,31.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.5090909090909093,55.0
95,Broken Arrow (1996),Action|Adventure|Thriller,3.0238095238095237,84.0
104,Happy Gilmore (1996),Comedy,3.4393939393939394,99.0
110,Braveheart (1995),Action|Drama|War,4.031645569620253,237.0
111,Taxi Driver (1976),Crime|Drama|Thriller,4.105769230769231,104.0
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.5434782608695654,46.0
135,Down Periscope (1996),Comedy,2.9516129032258065,31.0
141,"Birdcage, The (1996)",Comedy,3.494186046511628,86.0
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.2450980392156863,51.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.845771144278607,201.0
151,Rob Roy (1995),Action|Drama|Romance|War,3.5454545454545454,44.0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.9160583941605838,137.0
158,Casper (1995),Adventure|Children,2.806451612903226,62.0
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.8771929824561404,57.0
161,Crimson Tide (1995),Drama|Thriller|War,3.6359223300970873,103.0
163,Desperado (1995),Action|Romance|Western,3.5606060606060606,66.0
